index	captionID	pairID	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
58190	536739751.jpg#1	536739751.jpg#1r1n	( ( ( A ( young ( Asian girl ) ) ) ( in ( a ( tube top ) ) ) ) ( ( ( holds out ) ( her ( camera ( to ( ( get ( a picture ) ) ( with ( ( her friend ) ( who ( is ( making ( the ( peace sign ) ) ) ) ) ) ) ) ) ) ) ) . ) )	( ( A ( young girl ) ) ( ( is ( ( taking ( a selfie ) ) ( with ( a ( friend ( to ( post online ) ) ) ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (JJ young) (JJ Asian) (NN girl)) (PP (IN in) (NP (DT a) (NN tube) (NN top)))) (VP (VBZ holds) (PRT (RP out)) (NP (PRP$ her) (NN camera) (S (VP (TO to) (VP (VB get) (NP (DT a) (NN picture)) (PP (IN with) (NP (NP (PRP$ her) (NN friend)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG making) (NP (DT the) (NN peace) (NN sign))))))))))))) (. .)))	(ROOT (S (NP (DT A) (JJ young) (NN girl)) (VP (VBZ is) (VP (VBG taking) (NP (DT a) (NN selfie)) (PP (IN with) (NP (DT a) (NN friend) (S (VP (TO to) (VP (VB post) (PP (NN online))))))))) (. .)))	A young Asian girl in a tube top holds out her camera to get a picture with her friend who is making the peace sign.	A young girl is taking a selfie with a friend to post online.	neutral	neutral
519558	3721822959.jpg#3	3721822959.jpg#3r1n	( ( Some people ) ( ( ( walk ( beside ( a racetrack ) ) ) ( before ( a race ) ) ) . ) )	( ( Nascar enthusiasts ) ( walk ( ( the racetrack ) ( in ( anticipation ( of ( the ( big event ) ) ) ) ) ) ) )	(ROOT (S (NP (DT Some) (NNS people)) (VP (VBP walk) (PP (IN beside) (NP (DT a) (NN racetrack))) (PP (IN before) (NP (DT a) (NN race)))) (. .)))	(ROOT (S (NP (NNP Nascar) (NNS enthusiasts)) (VP (VBP walk) (NP (NP (DT the) (NN racetrack)) (PP (IN in) (NP (NP (NN anticipation)) (PP (IN of) (NP (DT the) (JJ big) (NN event)))))))))	Some people walk beside a racetrack before a race.	Nascar enthusiasts walk the racetrack in anticipation of the big event	neutral	neutral
281428	3826505145.jpg#2	3826505145.jpg#2r1n	( Here ( ( is ( ( a picture ) ( of ( ( two men ) ( ( walking ( ( in and ) out ) ) ( of ( a ( police station ) ) ) ) ) ) ) ) . ) )	( Shift ( ( change ( at ( the ( local precinct ) ) ) ) . ) )	(ROOT (S (NP (RB Here)) (VP (VBZ is) (NP (NP (DT a) (NN picture)) (PP (IN of) (NP (NP (CD two) (NNS men)) (VP (VBG walking) (ADVP (IN in) (CC and) (IN out)) (PP (IN of) (NP (DT a) (NN police) (NN station)))))))) (. .)))	(ROOT (S (INTJ (UH Shift)) (VP (VB change) (PP (IN at) (NP (DT the) (JJ local) (NN precinct)))) (. .)))	Here is a picture of two men walking in and out of a police station.	Shift change at the local precinct.	neutral	neutral
259244	4368366048.jpg#1	4368366048.jpg#1r1e	( ( ( A woman ) ( holding ( a microphone ) ) ) ( ( is ( talking ( during ( a ( Powerpoint presentation ) ) ) ) ) . ) )	( ( A woman ) ( ( speaks ( though ( a microphone ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (VP (VBG holding) (NP (DT a) (NN microphone)))) (VP (VBZ is) (VP (VBG talking) (PP (IN during) (NP (DT a) (NNP Powerpoint) (NN presentation))))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ speaks) (ADVP (IN though) (NP (DT a) (NN microphone)))) (. .)))	A woman holding a microphone is talking during a Powerpoint presentation.	A woman speaks though a microphone.	entailment	entailment
161103	vg_verb109	vg_verb109r3e	( ( The food ) ( ( needs ( to ( be ( eaten soon ) ) ) ) . ) )	( There ( ( is ( food ( to ( be eaten ) ) ) ) . ) )	(ROOT (S (NP (DT The) (NN food)) (VP (VBZ needs) (S (VP (TO to) (VP (VB be) (VP (VBN eaten) (ADVP (RB soon))))))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NN food) (S (VP (TO to) (VP (VB be) (VP (VBN eaten))))))) (. .)))	The food needs to be eaten soon.	There is food to be eaten.	entailment	entailment
368936	7860117984.jpg#2	7860117984.jpg#2r1e	( ( A matador ) ( ( ( shows ( his ( ( love and ) relationship ) ) ) ( with ( his bull ) ) ) . ) )	( ( ( ( A bull ) and ) ( a matador ) ) ( ( are together ) . ) )	(ROOT (S (NP (DT A) (NN matador)) (VP (VBZ shows) (NP (PRP$ his) (NN love) (CC and) (NN relationship)) (PP (IN with) (NP (PRP$ his) (NN bull)))) (. .)))	(ROOT (S (NP (NP (DT A) (NN bull)) (CC and) (NP (DT a) (NN matador))) (VP (VBP are) (ADJP (RB together))) (. .)))	A matador shows his love and relationship with his bull.	A bull and a matador are together.	entailment	entailment
392707	7374362298.jpg#4	7374362298.jpg#4r5e	( ( ( A man ) ( in ( ( a uniform ) ( with glasses ) ) ) ) ( ( is ( playing ( a ( french horn ) ) ) ) . ) )	( Someone ( performs ( on ( a ( musical instrument ) ) ) ) )	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (NN uniform)) (PP (IN with) (NP (NNS glasses)))))) (VP (VBZ is) (VP (VBG playing) (NP (DT a) (JJ french) (NN horn)))) (. .)))	(ROOT (S (NP (NN Someone)) (VP (VBZ performs) (PP (IN on) (NP (DT a) (JJ musical) (NN instrument))))))	A man in a uniform with glasses is playing a french horn.	Someone performs on a musical instrument	entailment	entailment
398002	2310972631.jpg#3	2310972631.jpg#3r1e	( ( ( A ( little girl ) ) ( balancing ( on ( ( a ledge ) ( on ( ( the side ) ( of ( the street ) ) ) ) ) ) ) ) . )	( ( A girl ) ( ( is ( near ( a street ) ) ) . ) )	(ROOT (NP (NP (DT A) (JJ little) (NN girl)) (VP (VBG balancing) (PP (IN on) (NP (NP (DT a) (NN ledge)) (PP (IN on) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (DT the) (NN street)))))))) (. .)))	(ROOT (S (NP (DT A) (NN girl)) (VP (VBZ is) (PP (IN near) (NP (DT a) (NN street)))) (. .)))	A little girl balancing on a ledge on the side of the street.	A girl is near a street.	entailment	entailment
299342	6994642420.jpg#0	6994642420.jpg#0r1e	( ( ( Two men ) ( in ( ( ( navy ( blue uniforms ) ) ( ( with ( navy captain ) ) 's ) ) ( ( hats and ) ( white boots ) ) ) ) ) ( ( are ( ( walking down ) ( ( a ( small ( , ( brick ( , ( busy street ) ) ) ) ) ) ( at night ) ) ) ) . ) )	( ( Two men ) ( ( are ( ( walking down ) ( a street ) ) ) . ) )	(ROOT (S (NP (NP (CD Two) (NNS men)) (PP (IN in) (NP (NP (NP (NN navy) (JJ blue) (NNS uniforms)) (PP (IN with) (NP (NN navy) (NN captain))) (POS 's)) (NX (NX (NNS hats)) (CC and) (NX (JJ white) (NNS boots)))))) (VP (VBP are) (VP (VBG walking) (PRT (RP down)) (NP (NP (DT a) (JJ small) (, ,) (NN brick) (, ,) (JJ busy) (NN street)) (PP (IN at) (NP (NN night)))))) (. .)))	(ROOT (S (NP (CD Two) (NNS men)) (VP (VBP are) (VP (VBG walking) (PRT (RP down)) (NP (DT a) (NN street)))) (. .)))	Two men in navy blue uniforms with navy captain's hats and white boots are walking down a small, brick, busy street at night.	Two men are walking down a street.	entailment	entailment
145261	4209480025.jpg#2	4209480025.jpg#2r1e	( ( Man ( wearing ( ( glasses and ) ( a ( hat ( shoveling snow ) ) ) ) ) ) . )	( ( ( A man ) ( in glasses ) ) ( ( shovels snow ) . ) )	(ROOT (NP (NP (NNP Man)) (VP (VBG wearing) (NP (NP (NNS glasses)) (CC and) (NP (DT a) (NN hat) (VBG shoveling) (NN snow)))) (. .)))	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NNS glasses)))) (VP (VBD shovels) (NP (NN snow))) (. .)))	Man wearing glasses and a hat shoveling snow.	A man in glasses shovels snow.	entailment	entailment
397343	870367466.jpg#4	870367466.jpg#4r1e	( Woman ( ( ( plays guitar ) ( to ( two children ) ) ) . ) )	( There ( ( are ( two children ) ) . ) )	(ROOT (S (NP (NNP Woman)) (VP (VBZ plays) (NP (NN guitar)) (PP (TO to) (NP (CD two) (NNS children)))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (CD two) (NNS children))) (. .)))	Woman plays guitar to two children.	There are two children.	entailment	entailment	entailment	entailment	entailment	entailment
537437	3874666884.jpg#0	3874666884.jpg#0r1e	( ( ( A guy ) ( in ( a ( yellow ( parachute jumpsuit ) ) ) ) ) ( ( is ( standing ( between ( ( a row ) ( of ( packed parachutes ) ) ) ) ) ) . ) )	( he ( is ( looking ( at ( the parachutes ) ) ) ) )	(ROOT (S (NP (NP (DT A) (NN guy)) (PP (IN in) (NP (DT a) (JJ yellow) (NN parachute) (NN jumpsuit)))) (VP (VBZ is) (VP (VBG standing) (PP (IN between) (NP (NP (DT a) (NN row)) (PP (IN of) (NP (JJ packed) (NNS parachutes))))))) (. .)))	(ROOT (S (NP (PRP he)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (DT the) (NNS parachutes)))))))	A guy in a yellow parachute jumpsuit is standing between a row of packed parachutes.	he is looking at the parachutes	entailment	entailment
215033	2998397283.jpg#0	2998397283.jpg#0r5e	( ( ( A ( young man ) ) ( with ( a v-neck ) ) ) ( ( ( considers ( a ( water jug ) ) ) ( while ( ( standing next ) ( to ( a ( black motorcycle ) ) ) ) ) ) . ) )	( ( The man ) ( ( stands ( near ( his motorcycle ) ) ) ( when ( ( a jug ) ( catches ( his eye ) ) ) ) ) )	(ROOT (S (NP (NP (DT A) (JJ young) (NN man)) (PP (IN with) (NP (DT a) (NN v-neck)))) (VP (VBZ considers) (NP (DT a) (NN water) (NN jug)) (PP (IN while) (S (VP (VBG standing) (ADVP (JJ next)) (PP (TO to) (NP (DT a) (JJ black) (NN motorcycle))))))) (. .)))	(ROOT (S (NP (DT The) (NN man)) (VP (VBZ stands) (PP (IN near) (NP (PRP$ his) (NN motorcycle))) (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN jug)) (VP (VBZ catches) (NP (PRP$ his) (NN eye))))))))	A young man with a v-neck considers a water jug while standing next to a black motorcycle.	The man stands near his motorcycle when a jug catches his eye	entailment	entailment
350513	23473996.jpg#2	23473996.jpg#2r1e	( ( ( ( A group ) ( of men ) ) ( standing ( by ( a ( road block ) ) ) ) ) . )	( ( The men ) ( ( are ( standing outside ) ) . ) )	(ROOT (NP (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS men)))) (VP (VBG standing) (PP (IN by) (NP (DT a) (NN road) (NN block)))) (. .)))	(ROOT (S (NP (DT The) (NNS men)) (VP (VBP are) (VP (VBG standing) (ADVP (RB outside)))) (. .)))	A group of men standing by a road block.	The men are standing outside.	entailment	entailment
223468	175398811.jpg#3	175398811.jpg#3r4e	( ( Two men ) ( ( are ( having ( a conversation ) ) ) . ) )	( ( Two adults ) ( ( are chatting ) . ) )	(ROOT (S (NP (CD Two) (NNS men)) (VP (VBP are) (VP (VBG having) (NP (DT a) (NN conversation)))) (. .)))	(ROOT (S (NP (CD Two) (NNS adults)) (VP (VBP are) (VP (VBG chatting))) (. .)))	Two men are having a conversation.	Two adults are chatting.	entailment	entailment
76415	4303790425.jpg#2	4303790425.jpg#2r1e	( ( ( A person ) ( holding ( ( the leash ) ( of ( ( a dog ) ( as ( the dog ) ) ) ) ) ) ) ( ( sniffs ( the horse ) ) . ) )	( ( A horse ) ( ( stands ( near ( ( ( a dog ) and ) ( a person ) ) ) ) . ) )	(ROOT (S (NP (NP (DT A) (NN person)) (VP (VBG holding) (NP (NP (DT the) (NN leash)) (PP (IN of) (NP (NP (DT a) (NN dog)) (PP (IN as) (NP (DT the) (NN dog)))))))) (VP (VBZ sniffs) (NP (DT the) (NN horse))) (. .)))	(ROOT (S (NP (DT A) (NN horse)) (VP (VBZ stands) (PP (IN near) (NP (NP (DT a) (NN dog)) (CC and) (NP (DT a) (NN person))))) (. .)))	A person holding the leash of a dog as the dog sniffs the horse.	A horse stands near a dog and a person.	entailment	entailment
215016	1891462514.jpg#1	1891462514.jpg#1r1e	( ( The lady ) ( ( was ( ( digging ( a ( deep hole ) ) ) ( to ( plant ( the tree ) ) ) ) ) . ) )	( ( a female ) ( is ( doing planting ) ) )	(ROOT (S (NP (DT The) (NN lady)) (VP (VBD was) (VP (VBG digging) (NP (DT a) (JJ deep) (NN hole)) (S (VP (TO to) (VP (VB plant) (NP (DT the) (NN tree))))))) (. .)))	(ROOT (S (NP (DT a) (NN female)) (VP (VBZ is) (VP (VBG doing) (NP (NN planting))))))	The lady was digging a deep hole to plant the tree.	a female is doing planting	entailment	entailment
490055	4558031884.jpg#0	4558031884.jpg#0r1e	( ( ( A woman ) ( in ( a ( light ( purple dress ) ) ) ) ) ( ( ( dons ( a ( duck face ) ) ) ( amid ( ( a crowd ) ( of people ) ) ) ) . ) )	( ( a woman ) ( does ( a ( duck face ) ) ) )	(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN in) (NP (DT a) (JJ light) (JJ purple) (NN dress)))) (VP (VBZ dons) (NP (DT a) (NN duck) (NN face)) (PP (IN amid) (NP (NP (DT a) (NN crowd)) (PP (IN of) (NP (NNS people)))))) (. .)))	(ROOT (S (NP (DT a) (NN woman)) (VP (VBZ does) (NP (DT a) (NN duck) (NN face)))))	A woman in a light purple dress dons a duck face amid a crowd of people.	a woman does a duck face	entailment	entailment
118779	1199376686.jpg#3	1199376686.jpg#3r1e	( ( ( Bird 's ) eye ) ( ( view ( of ( ( a man ) ( ( ascending ( a staircase ) ) outdoors ) ) ) ) . ) )	( ( A man ) ( ( ascends ( an ( outdoor staircase ) ) ) . ) )	(ROOT (S (NP (NP (NNP Bird) (POS 's)) (NN eye)) (VP (VBP view) (PP (IN of) (NP (NP (DT a) (NN man)) (VP (VBG ascending) (NP (DT a) (NN staircase)) (ADVP (RB outdoors)))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ ascends) (NP (DT an) (JJ outdoor) (NN staircase))) (. .)))	Bird's eye view of a man ascending a staircase outdoors.	A man ascends an outdoor staircase.	entailment	entailment
288997	4979318904.jpg#0	4979318904.jpg#0r1c	( ( An ( Asian ( young woman ) ) ) ( ( is ( walking ( outside ( ( ( carrying ( a book ) ) and ) ( wearing headphones ) ) ) ) ) . ) )	( ( A woman ) ( ( is ( ( eating dinner ) ( at ( the restaurant ) ) ) ) . ) )	(ROOT (S (NP (DT An) (JJ Asian) (JJ young) (NN woman)) (VP (VBZ is) (VP (VBG walking) (PP (IN outside) (S (VP (VP (VBG carrying) (NP (DT a) (NN book))) (CC and) (VP (VBG wearing) (NP (NNS headphones)))))))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG eating) (NP (NN dinner)) (PP (IN at) (NP (DT the) (NN restaurant))))) (. .)))	An Asian young woman is walking outside carrying a book and wearing headphones.	A woman is eating dinner at the restaurant.	contradiction	contradiction
136058	8146641506.jpg#4	8146641506.jpg#4r4c	( ( A man ) ( ( ( surveys ( a booth ) ) ( at ( ( a convention ) ( featuring ( framed art ) ) ) ) ) . ) )	( ( A man ) ( ( looks ( at ( artwork ( in ( a museum ) ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ surveys) (NP (DT a) (NN booth)) (PP (IN at) (NP (NP (DT a) (NN convention)) (VP (VBG featuring) (NP (JJ framed) (NN art)))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ looks) (PP (IN at) (NP (NP (NN artwork)) (PP (IN in) (NP (DT a) (NN museum)))))) (. .)))	A man surveys a booth at a convention featuring framed art.	A man looks at artwork in a museum.	contradiction	contradiction
342182	3606909929.jpg#0	3606909929.jpg#0r3c	( ( ( ( ( ( ( A silver ) and ) ( black ( race car ) ) ) ( turns sideways ) ) and ) ( blows ( ( smoke out ) ( ( the back ) ( of ( the car ) ) ) ) ) ) . )	( ( A toddler ) ( ( is ( ( driving ( a ( race car ) ) ) ( at ( a ( NASCAR event ) ) ) ) ) . ) )	(ROOT (S (S (NP (NP (DT A) (NN silver)) (CC and) (NP (JJ black) (NN race) (NN car))) (VP (VBZ turns) (ADVP (RB sideways)))) (CC and) (S (NP (NNS blows)) (VP (VBP smoke) (PRT (RP out)) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (DT the) (NN car)))))) (. .)))	(ROOT (S (NP (DT A) (NN toddler)) (VP (VBZ is) (VP (VBG driving) (NP (DT a) (NN race) (NN car)) (PP (IN at) (NP (DT a) (JJ NASCAR) (NN event))))) (. .)))	A silver and black race car turns sideways and blows smoke out the back of the car.	A toddler is driving a race car at a NASCAR event.	contradiction	contradiction
56485	4725691880.jpg#2	4725691880.jpg#2r1c	( ( ( A ( produce market ) ) ( displaying ( ( wares and ) ( colorful flags ) ) ) ) . )	( ( ( A ( butcher shop ) ) ( with ( some signs ) ) ) . )	(ROOT (NP (NP (DT A) (NN produce) (NN market)) (VP (VBG displaying) (NP (NP (NNS wares)) (CC and) (NP (JJ colorful) (NNS flags)))) (. .)))	(ROOT (NP (NP (DT A) (NN butcher) (NN shop)) (PP (IN with) (NP (DT some) (NNS signs))) (. .)))	A produce market displaying wares and colorful flags.	A butcher shop with some signs.	contradiction	contradiction
