sentence	label
What horse did Zorro ride ?	1
What are some translations of the phrase `` Thank-you '' ?	1
What group included Abbey Hoffman , Jerry Rubin , and Tom Hayden ?	3
How many real fruit juices are there in a can of Hawaiian Punch ?	5
What are the signs of a country going into a recession ?	1
What relative of Leo Tolstoy translated War and Peace eight times ?	3
In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?	1
In what year did Hitler gain power of Germany ?	5
What are the conjugations of wake and woke ?	1
What 's the capital of Taiwan ?	4
What kind of a sports team is the Wisconsin Badgers ?	1
Who was Monet ?	3
What year did nylon stockings first go on sale ?	5
What is another term for the painful wrist syndrome ?	1
Which Latin American country is the largest ?	4
Where are the busiest Amtrak rail stations in the U.S. ?	4
What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?	1
Who gave us the `` Rolling Writer '' ?	3
What islands got their name from the Spanish baja mar , meaning shallow water ?	4
What is the best brand for a laptop computer ?	1
What is form drag ?	0
Who is the president of the Spanish government ?	3
What is a Devo hat ?	0
What kind of fruit is a Yellow Transparent ?	1
When was the USSR dissolved ?	5
What fraction of a beaver 's life is spent swimming ?	5
Name the vessel used by the Atari Force in the DC comics .	1
What are three ways in which wind is created on the earth ?	1
Who is Samuel F. Pickering ?	3
What are Britain 's two longest rivers ?	4
Who found Hawaii ?	3
What chocolate company gives you a one-pound kiss ?	3
Who is Ishmael in Moby Dick ?	3
What countries have the largest armed forces in the world ?	4
What was the distinguishing mark on the `` Little Rascals '' dog ?	1
What country 's people are the top television watchers ?	4
When did Thatcher become prime minister ?	5
What number is at 12 o 'clock on a dartboard ?	5
What is `` Vocal Sampling '' ?	0
What can one see in Reims ?	1
How far is London UK from California ?	5
What British TV series featured Emma Peel ?	1
What star-faring race brought about the Inhumans on Marvel 's Earth ?	1
When did Nixon visit China ?	5
What is the meaning of thalassemia ?	0
What is the origin of the name Katie ?	0
How many miles is it from London , England to Plymouth , England ?	5
Whom did the Chicago Bulls beat in the 1993 championship ?	3
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?	3
What are the current immigration laws in US ?	0
What was the name of the first Watergate special prosecutor , later fired by Nixon ?	3
What sign is the best love match for a horoscope sign ?	1
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?	1
How many frames does a disk camera shoot ?	5
In what city is the headquarters of Sinn Fein ?	4
When did CNN begin broadcasting ?	5
What type of hunting are retrievers used for ?	1
What are the environmental influences on plant genetics ?	0
What does saliva consist of ?	1
How many verses are in the Bible ?	5
Who was the inventor of silly putty ?	3
What is the nursery rhyme Rock-a-by Baby about ?	0
What kind of file has the extension .dbf ?	1
What is difference between a poster and a print ?	0
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?	1
What English queen had seventeen children ?	3
How many feet are there in a fathom ?	5
What nationality was Jackson Pollock ?	4
When was Florida admitted into the Union ?	5
What spice do chefs pay the most for ?	1
What was the nationality of Jackson Pollock ?	4
When was the internal combustion engine developed ?	5
Aspartame is also known as what ?	1
How deep is a fathom ?	5
The Olympic Games in which year allowed Nadia Comaneci to become popular ?	5
What British general surrendered to the colonial army at Saratoga ?	3
What is porphyria ?	0
How many people died on South Carolina highways in 1998 ?	5
Where is Glasgow ?	4
What is the origin of the proverb `` A stitch in time saves nine '' ?	0
What animals can live the longest without food ?	1
What date is Boxing Day ?	5
What professional cricketer 's son wrote The War of the Worlds in 1898 ?	3
What war saw battles at Parrot 's Beak and Black Virgin ?	1
What is humidity ?	0
How many meters are in a mile ?	5
What is the best distance education university or college ?	3
How can I trace my family roots ?	0
What are Cushman and Wakefield known for ?	0
What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?	0
What film ends with the line : `` This is Mrs. Norman Maine '' ?	1
How can I find a phone number of someone if I only know their email address ?	0
How many zip codes are there in the U.S. ?	5
Who is the president of Bolivia ?	3
What four U.S. states have active volcanoes ?	4
What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?	3
When did the royal wedding of Prince Andrew and Fergie take place ?	5
What is the most popular sports car color ?	1
Who was the first woman golfer to earn a million ?	3
What late-night TV show features Larry , Bud , Melman and Toast on a Stick ?	1
Which king signed the Magna Carta ?	3
How do I register a trade name in North Carolina ?	0
What is the fear of cockroaches called ?	1
What state in the U.S. has the most blacks ?	4
What actress starred in `` The Lion in Winter '' ?	3
Define cosmology .	0
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?	1
How do you make the color purple ?	0
What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?	0
Where can one find information on religion and health , the brain and nutrition ?	4
Who is Stephen Hawking ?	3
Where can I get a map of Prussia on the Internet ?	4
What 's the name of the Wilkes plantation in Gone with the Wind ?	4
What does IOC stand for ?	2
What does S.O.S. stand for ?	2
How can you contact play producers and promoters on-line ?	0
Who was considered to be the father of psychology ?	3
How was Teddy Roosevelt related to FDR ?	0
What is Dr. Ruth 's last name ?	3
What former president 's daughter has written a book titled Murder in the White House ?	3
How can you define time ?	0
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?	1
What is the richest state in the U.S. ?	4
What manufacturers are there in Texas ?	3
What do peacocks mate with ?	1
How many colonies did Germany get to keep after World War I ?	5
Who is the current prime minister and president of Russia ?	3
Where did King Francis I hang the `` Mona Lisa '' when he owned it ?	4
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?	3
How many rows of whiskers does a cat have ?	5
Why do some clothing labels say `` Use a nonchlorine bleach '' ?	0
Who awarded The Flying Fickle Finger of Fate ?	3
How many people lived in Nebraska in the mid 1900s ?	5
How many equal sides are there on a scalene triangle ?	5
What Hermann Hesse book gave its name to a rock group ?	1
What should the temperature be set at while baking Peachy Oat Muffins ?	5
Where are the Haversian canals ?	4
What business exports the sparkling wine Spumante ?	3
How many zeros are there in a trillion ?	5
Where is the actress , Marion Davies , buried ?	4
What was the name of the cook on Rawhide ?	3
What color of dry wine should be served with veal roasts and chops ?	1
What English physician was born on January 18 , 1779 and went on to create two important inventions ?	3
What British commander surrendered to George Washington at Yorktown in 1781 ?	3
Which major diamond producer is based in South Africa ?	3
Who made the first airplane that could fly ?	3
Who won the Superbowl in ?	3
What is Nathan Hamill 's role in the new Star Wars prequel ?	3
Which country is the largest country in Latin America ?	4
What city is Logan Airport in ?	4
What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?	4
Who created Big Ben ?	3
Name the child left on a doorstep at the beginning of Gasoline Alley .	3
What lake in Scotland is said to hold one or more monsters ?	4
What are the top ten most common girl names in the US ?	3
Who owns the St. Louis Rams ?	3
What is Zionism ?	0
Who was Santos-Dumont ?	3
What 1976 Deep Throat clone provides the leading lady with a second larynx ?	1
What is a fear of pregnancy ?	1
What is the term for someone who hates mankind ?	1
What is measured in curies ?	0
What is the average hourly rate of American workers ?	5
What natural attractions draw the most visitors in the United States ?	4
What six-foot temperance advocate wielded her hatchet on saloons ?	3
What happens when a body part falls asleep ?	0
Where can I find book reviews of `` Turbulent Souls '' ?	4
What is the average hours per months spent online by AOL users ?	5
How do I know someone is truly in love with me ?	0
What president 's ghost is said to haunt the White House ?	3
What is a person called that likes fire ?	3
What organization 's offices were broken into at Watergate in 1972 ?	3
What country was first to use the airplane as a weapon of war , against the Turks in Libya ?	4
What is RCD ?	2
What phone number can I call to have a tree planted ?	5
Why are the ears your center of balance ?	0
How long ago did the Anglican church part from the Vatican ?	5
What does Elysium mean ?	0
How many inches over six feet is the Venus de Milo ?	5
How many years did Shea & Gould practice law in Los Angeles ?	5
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?	1
What is the Homelite Inc. home page ?	4
What ocean is the largest in the world ?	4
How many children under 18 are victims of some sort of Physical Abuse each year ?	5
What are you hearing when you put a seashell to your ear ?	0
Who discovered imaginary numbers ?	3
How do you say `` fresh '' in Spanish ?	1
What is the name of the medical condition in which a baby is born without a brain ?	1
Who invented silly putty ?	3
What William Styron book is about a black preacher who leads a slave revolt ?	1
What Jewish holiday saw the start of the 1973 Mideast War ?	1
Where was the Cisalpine Republic , 1797-185 , ?	4
What happened on January 15 , 1969 ?	1
What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?	1
What U.S. state does the Continental Divide leave to enter Canada ?	4
How much would it cost to purchase a 2-foot-square party tent , with sides , ?	5
What time of year do most people fly ?	5
What was the name of the director of the movie `` Jaws '' ?	3
What ISPs exist in the Caribbean ?	3
What is the plural of gulf ?	1
What does R.E.M. stand for , as in the rock group R.E.M. ?	2
What was Simple Simon fishing for in his mother 's pail ?	1
What U.S. President had brothers-in-law in the Confederate army ?	3
What J.R.R. Tolkien book features Gimli as a central character ?	1
What is the highest mountain in the world ?	4
How old is the universe ?	5
How did Super President gain his powers on the animated series ?	0
What is Dr. Seuss ' most popular book ?	1
How can you stop the itch from poison ivy ?	0
What does `` extended definition '' mean and how would one write a paper on it ?	0
What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?	1
What is Britain 's possession on the Chinese mainland ?	4
What U.S. vice-president said : `` Some newspapers dispose of their garbage by printing it '' ?	3
How many American soldiers are stationed in South Korea ?	5
What is the meaning of Jesus ?	0
Where were the 196 Summer Olympics held ?	4
What cocktail do you concoct with whisky and sweet vermouth ?	1
Which two products use a tiger as their symbol ?	1
What is the origin of the expression `` tout de suite '' ?	0
What tools do you use to crewel ?	1
What is the youngest age a boy or girl can have an orgasm ?	5
What Mormon leader was said to have had 27 wives ?	3
What is the population of Kansas ?	5
How many small businesses are there in the U.S .	5
What are close encounters of the first and second kind ?	1
What political party is Sinn Fein a part of ?	3
What is the fear of frogs ?	1
How can I find out how much income tax is paid on Social Security income on the 1998 income tax ?	0
How many Grammys did Michael Jackson win in 1983 ?	5
What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?	0
Who is Count Cinzano ?	3
What mustachioed comedian portrayed Frankie in North to Alaska ?	3
What is the deepest area of the Arctic Ocean ?	4
What was the Christian name of the title character in Our Miss Brooks ?	3
Who created the comic strip , `` Garfield '' ?	3
When was Microsoft established ?	5
What rabbit got its name because its ears resembled those of a jackass ?	1
What day is known as the `` national day of prayer '' ?	5
What U.S. city was named for St. Francis of Assisi ?	4
What country contains the highest point in South America ?	4
What is the biggest `` thing '' humans have made ?	1
What song did Patti Page set people dancing to in 1950 ?	1
What do manatees eat ?	1
Who was Charles Lindbergh 's wife ?	3
What were the achievements of Richard Nixon ?	1
In what year was the movie the Ten Commandments released ?	5
Who is always trying to get the rent from Andy Capp ?	3
Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?	1
How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?	5
Hazmat stands for what ?	0
Where was Christopher Columbus born ?	4
Where are all European and American eels born ?	4
Why do horseshoes bring luck ?	0
Who is the Antichrist ?	3
What are the top 5 tallest buildings in the world ?	4
What meter did Shakespeare use in writing : `` To be , or not to be , that is the question.. . '' ?	1
Who invented baseball ?	3
What are the highest-paying odds on a roulette table ?	5
Who are the top ten richest people in the world ?	3
What do most tourists visit in Reims ?	4
Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?	3
Name the first private citizen to fly in space .	3
How long ago was the Roe vs. Wade decision by the Supreme Court ?	5
How is Easter Sunday 's date determined ?	0
The Kentucky Horse Park is located near what city ?	4
What 's the hardest substance in the human body ?	1
What is Srpska Krajina ?	0
What are the `` Star Wars '' satellites ?	0
What is a bourdon tube ?	0
What year did the first issue of `` Playboy '' come out ?	5
What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	1
Where can I find a tape or book to help me say , write and understand Japanese ?	4
What is Jane Goodall known for ?	0
What hymn did John Steinbeck get his title The Grapes of Wrath from ?	1
How do I find if my relatives were on the Trail of Tears ?	0
What is a society ruled by elders ?	3
Why was Washington , DC originally called District of Columbia ?	0
What kind of greeting is appropriate to send on Yom Kippur ?	0
Name Pittsburgh 's baseball team .	3
President Bush compared Saddam Hussein to whom ?	3
Who invented the fountain ?	3
What year did Spielberg make `` Jaws '' ?	5
For what reason did some San Diego schools stop serving apples ?	0
What invention does the principle of conservation of energy make impossible ?	1
Who was Maria Theresa ?	3
When is the Thai New Year ?	5
What country has been called The Queen of the Antilles ?	4
What is a fear of being dirty ?	1
What were the cities of Dickens 's A Tale of Two Cities ?	4
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?	4
What book does Holden Caulfield appear in ?	1
What ill-fated craft was captained by Ernst Lehmann ?	1
What are the unemployment statistics for the years 1965 and 1990 ?	5
What is a fear of ruin ?	1
What color is Chablis ?	1
How many points are there on a Backgammon board ?	5
How high is the city of Denver ?	5
How many web servers are there ?	5
How do you ask questions ?	0
What does IQ stand for ?	2
Who is the leader of India ?	3
What body of water does the Danube River flow into ?	4
When was the Bill of Rights ratified ?	5
Saddam Hussein was compared to whom by President Bush ?	3
What was the previous name for the Commonwealth ?	3
What is the origin of the expression `` four-letter word '' ?	0
What country is Kosovo a part of ?	4
Who patented the first phonograph ?	3
Name the food company that traveled to Soviet Georgia to film a series of ads .	3
What boxer 's life story is titled Raging Bull ?	3
Where are diamonds mined ?	4
What 's the slowest Olympic swimming stroke ?	1
In what year did China and the Republic of Korea establish diplomatic relations ?	5
What cable network bills itself as `` the family entertainer '' ?	3
What is the per-capita income of Colombia , South America , ?	5
How do I legally make my own will and testament ?	0
When it 's time to relax , what one beer stands clear ?	1
What is the origin of gametophytic tissue ?	0
When did Iraqi troops invade Kuwait ?	5
What are `` inkhorn terms '' ?	0
How many maids were milking ?	5
What is literary criticism ?	0
How many electoral college votes does Colorado have ?	5
Who replaced Bert Parks as the host of The Miss America Pageant ?	3
What New England state carries the telephone area code 27 ?	4
Who was the Secretary of War in the Civil War during the Battle of Gettysburg ?	3
What are the diseases that can be cured by black cumin ?	1
What character did Tex Avery first create upon arriving at MGM ?	3
What flag flies over Wake Island ?	1
What woman has carried the most multiple births , twins , triplets , etc. , ?	3
How far can you see ?	5
What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?	4
How much did the minimum wage amount to in 1991 ?	5
What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?	1
What U.S. state records the least rainfall ?	4
Where did the name Daniel originate ?	4
Who created Harry Lime ?	3
Who is Coronado ?	3
What is the Bernoulli Principle ?	0
What spy novelist served as Moscow correspondent for Reuter and The Times of London ?	3
Where is the largest post office building in the world ?	4
When was the women 's suffrage amendment ratified ?	5
How old is Jeremy Piven ?	5
What is the meaning of `` subaru ? ''	0
Jude Law acted in which film ?	1
What ever happened to the once popular Yale Lock Company ?	0
What is the longest place name in the U.S. ?	4
How do you write a correct critical analysis of a poem ?	0
What is the origin of the term `` The Brooklyn Side '' in bowling ?	0
How long has L.L. Cool J. been married ?	5
Which comic book was not spawned directly from the pulp magazines ?	1
On average , how long time does it take to type a screenplay ?	5
What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?	3
What video game hero do some of his fans call Chomper ?	3
How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?	0
When did humans first begin to write history seriously ?	5
Who was Damocles ?	3
What is the belt of low pressure around the equator called ?	1
Who is considered The First Lady of the American Stage ?	3
What drink contains as many types of rum as possible ?	1
How do you pronounce `` Tzimisce '' ?	0
How does marijuana lead to other drugs ?	0
Who was with Patricia Hearst the night she was kidnaped ?	3
What was the species of Winnie the Pooh ?	1
How do I make fuel bricks from recycled newspaper ?	0
What is a hormone ?	0
Why does the sun shine only a short time in Alaska ?	0
How big is a baby bald eagle ?	5
What causes rust ?	0
What magazine gives us the cream , not the skim ?	1
What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?	3
What do insects do through their spiracles ?	0
Who made the first surfboard ?	3
What is Smartnet ?	0
How many Canadians emmigrate each year ?	5
What are the names of all the U.S. Navy aircraft carriers ?	1
How do you do a bibliography page ?	0
What does NAFTA stand for ?	2
What color is most often used to symbolize truth ?	1
What company 's logo is a `` W '' in a circle ?	3
What is the difference between pop music and rock and roll ?	0
How do they find an epicenter ?	0
How do movie blues screens work ?	0
How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?	0
What is a green bog ?	0
What U.S. President was the first to breed mules ?	3
What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?	3
What is ethology ?	0
How do birds have sex ?	0
What is the largest variety of cactus ?	0
What are the two languages of Malta ?	1
What island group is Guadalcanal a part of ?	4
What is a fear of color ?	1
Who makes chicken `` finger lickin '' good ?	3
Who created Dennis the Menace ?	3
Where can I find information about touring the Philippines ?	4
How many dogs pull a sled in the Iditarod ?	5
What U.S. President showed a fondness for munching on bee pollen bars ?	3
What are pomegranates ?	0
How is bubble wrap made ?	0
What religion has the most members ?	1
Why did the Shea & Gould law firm leave Los Angeles ?	0
With whom did Bush compare Saddam Hussein ?	3
What country borders Denmark to the south ?	4
What New England state covers 5.9 square miles ?	4
The Kentucky Horse Park is close to which American city ?	4
Name the organization that is presided by a Security Council .	3
What is the origin of the word ` posh ' ?	0
What happened in the city of Dogtown in 1899 ?	0
What sport is played on the largest field ?	1
Where can I find a list of `` classic '' books 5th and 6th graders should read ?	4
Which organization is the Security Council a part of ?	3
Who is the richest person in the world ?	3
What Australian city became the home of the America 's Cup ?	4
What is the recipe or formula for Coca-Cola ?	1
Which U.S. President is buried in Washington , D.C. ?	3
Which two inventors invented Post-its ?	3
Name a female figure skater .	3
What is a fear of night or darkness ?	1
What is the chemical reactivity of neon ?	5
What are the most common elements in the Earth 's crust ?	1
Who portrayed Carl Bernstein in All the President 's Men ?	3
What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''	3
What is the only primate to lack pigment in the palms of its hands ?	1
What fraction of a beaver 's life is spent swimming ?	5
What country 's capital is Tirana ?	4
How many countries watch MTV Europe ?	5
What is the name of the firm that makes Spumante ?	3
What army 's motto is Blood and Fire ?	3
What is limbo ?	0
How is the election of a new Pope announced to the world ?	0
When was Nostradamus born ?	5
Where in the United States do people live the longest ?	4
What did Mighty Mouse always sing as he went into action ?	0
What lake is the source of the White Nile ?	4
Where did the myth of Santa Claus originate ?	4
What is the origin of Boxing Day ?	0
What is the origin of `` barbeque '' ?	0
When did the Dow first reach ?	5
Name a medicine commonly used to combat AIDS ?	1
What is a bone marrow transplant meant for ?	0
How do I love thee ?	0
Where 's Montenegro ?	4
What does the word `` meta '' mean ?	0
What year did the United States pass the Copyright law ?	5
What were the ceremony traditions like during the Elizabethian times ?	1
Who is Johnny Carson ?	3
What does the method called `` cold fusion '' create ?	1
Name the operating system that runs on IBM-compatible machines .	1
What gender is not allowed to vote in Kuwait ?	1
What are the most albums sold by one artist or band ?	1
What 's the longest river in Canada ?	4
How much money does each player get at the beginning of the game in Monopoly ?	5
When did the art of quilting begin ?	5
What is the population of the United States ?	5
What U.S. state has an element named for it ?	4
What was paper made of in the late 16th century ?	1
Who was the 16th President of the United States ?	3
What are binomial coefficients ?	0
Which of the following famous people does not paint as a hobby ?	3
What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?	3
Which sex is twice as likely to contract leprosy ?	1
Which glamorous actress is a close friend of Dick Tracy ?	3
Where can I find a large list of 5 to 6 letter words ?	4
What singer 's hit song inspired the Dolly Parton Stallone movie Rhinestone ?	3
