sentence	label
having done all this , i was quite pleased to see that all corners i needed were decently covered by the signal .	1
i 've had to install and uninstall them four or five times so far , and i 've not to get either product working properly .	0
the games are decent , but u only get 2 to start off with .	1
it all sounds great too .	1
other than that it meets or surpasses all of my needs and surely won 't disappoint any already established nokia phone fans .	1
the zen micro fm receiver is ok , not great .	1
probably a great phone overall , and perhaps mine just has bugs .	1
i love the continuous shot mode , which allows you to take up to 16 pix in rapid succession -- great for action shots .	1
it fits comfortably in my shirt pocket and while very well-designed , doesn 't look to ostentatious while i 'm walking around with it .	1
i love the bluetooth ; . easy to use with a wireless abra headset .	1
the ringtones are beautiful , the screen is super high quality .	1
the next problem was that it didn 't recognize all the installed components , so it would not update them , most notably and importantly , virus definitions .	0
but , i would definately recommend this phone .	1
t-mobile is trying very hard , and again -- they do have pretty good csr 's .	1
you do not have to waste money or time trying to purchase special bags for the champ .	1
creative has excellent music software , a very responsive tech support group ( they are quick on firmware updates , and make them publicly available ) , and usually a good array of accessories .	1
simple and it works ! .	1
all and all , i am extremely pleased with this camera .	1
all in all this is a 5 star piece of equipment .	1
i like the speed control .	1
the 6610 excels as a cell phone , thank god .	1
i got it working fast enough .	1
the antivirus feature is phenomenal , and is regularly updated .	1
i did a ton of research and settled on this phone because of the small size , speakerphone option , great priced calling plan and access to my corporate email .	1
there is also no voice recording , something most if not all mp3 players have that the ipod doesn 't .	0
in fact , i liked it so much after using it with my son who is now 2 years old , that i bought one for our new baby 's room .	1
using your own bags is much cheaper and convenient .	1
the zen lives up to the audio quality i love and expect .	1
the only problem i had was a few components didn 't quite load correctly upon startup , but a reboot fixed the problem .	0
battery non-issue .	1
i didnt have any installation problems ; . and the touch pad is fine , even if it is sort of inaccurate .	1
if i had to do it over , i wouldn 't buy anything else .	1
however , setting up using the quick start instructions was a breeze .	1
they were easy to setup with plenty of power to hog through anything i have encountered .	1
built in microphone is great for recording short voice notes .	1
my friends were impressed with the quality of the pictures i took ! .	1
it 's being used daily and i have had none of the problems reported by other reviewers ( headphone jack , player locking up , etc ) .	1
smooth plunging ! . ( it did stick a bit so i sprayed it w/ lubricant .	1
so far , the anti-spam feature seems to be very good .	1
the menus are easy to scroll through ; . they are laid out naturally , and make sense .	1
it came with a good fence that is simple yet precise and thats well made and won 't break .	1
doesn 't have alot of good games on it .	0
it takes great pictures .	1
less than a cheap cordless drill or a laminate trimmer .	1
on the contrary , i 'm quite pleased with my upgrade .	1
this is a perfect blend to accomplish both tasks .	1
setup is totally breeze and linksys 's web site is pretty easy to navigate .	1
let the champ win you over ! .	1
- bright , visible screen	1
why bother when it works perfectly with media player 10 ? .	1
apple closed their island to anything that resembled microsoft , and clearly let napster know it could not use their products with napster 's services .	0
the number buttons are crammed into a 3x4cm area , the fonts are small , the interface is too convoluted and frustrating , it 's not that customizable as well .	0
"i had a question about the pros and cons of turning off the norton firewall vs . the windows firewall , and waited 45 minutes to speak with a tech support representative because i did not have a "" customer priority id number . """	0
the blue backlight is pretty cool .	1
the dual antenna is a plus and the design is slick .	1
the interface is simple to use .	1
i have transferred in about 2 , 400 tracks so far - very easy to use both the ipod and itunes .	1
this camera is ideal for people who want more power , but do n 't want to spend 1000s dollars on a camera .	1
ks almost without fail , no matter what your taste in music is : from relaxation music to hard rock , to hip hop , to korean and japanese , to afro-cuban and salsa , jazz , blues , country and pop , this feature performs well .	1
the screen is bright and ring tones are unlimited .	1
overall the nikon 4300 is a very dependable , robust , and useful little camera .	1
as a windows user , i had to install the software including drivers and itunes on my desktop , and this is the only area where i encountered a nuisance .	0
i just upgraded to the linksys wrt54g wireless-g router last month and i am very happy with the quality of the product .	1
t-mobile was a pretty good server .	1
better for the zen micro is outlook compatibility .	1
i can go pretty far away from my router and still connect wirelessly .	1
still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! .	1
the features are really cool like the radio .	1
it is a nice router in all ways but one .	1
i expected the 12x digital zoom to be grainy , but on full size high to fine quality , the zoomed images are quite impressive .	1
enjoy .	1
the ear buds that come with it look cheap , but the sound quality is amazing .	1
moving on to sound department . . . it delivers ! .	1
after telling the rep and his tech supervisor the problem the only answer was to uninstall the program ( which i had already done ) . . .	0
especially the bluetooth server . . . meaning you have to restart the phone if you want bluetooth to work again .	0
songs transfer lightning fast , and the two batteries that came in my box give me 24 hours of listen time .	1
the color screen is a plus , as are the polyphonic ringtones .	1
it was also the most appealing .	1
once it froze so bad i couldn 't even use the power button to turn it off , and had to open and take out the battery .	0
i assumed they had exceptional service , but their reception in my area ( laos angele's ) is horrendous .	0
it is buggy , slow and basically frustrates the heck out of the user .	0
handsfree future is good , but not too exciting .	1
it was immediately noticeable that nis slows down my computer ( pent4 , 256 ram ) .	0
also , their t-zones , although cheap ( $ 4 . 99 / mo . ) never works .	0
luckily , with 3 rebates this product will cost me nothing ! . it is indeed worth nothing .	1
some of the higher pitched rings are very easy to hear , but not easy to listen to .	0
pros the design is very nice , and the colors are too .	1
the product has worked perfectly for me on my xp .	1
it makes the nomad i purchase feel and look like junk .	1
this router acts as a wireless access point , 100 mb switch and a router making it a nice multipurpose device .	1
further , the tech specs suggest that it has better audio quality than the ipod .	1
the speakerphone , the radio , all features work perfectly .	1
the in ital setup of the router was simple .	1
overall this is the best phone i have ever owned .	1
nokia makes great phones , and this one is the cream of the crop .	1
the menu options appear one at a time , taking up the whole screen , and one has to scroll down one by one , or have memorized where they are in the menu order , to select them by using the number keypad .	0
- outstanding signal reception	1
and we definitely prefer our champ ! .	1
as for bluetooth , no problems at all .	1
one of my favorite features about the player is its ability to sync to windows media player .	1
nokia makes a great phone , that 's clear .	1
5 . the price is right .	1
the i-pod is the best thing i have ever used .	1
you do get 1 more gb than an ipod mini .	1
for the price i don 't think you can beat it .	1
it doesn 't stink , ever ( like some have assumed since it doesn 't wrap each diaper into its own neat little cocoon ) .	1
battery life is good , although i recommend two rechargeable , or a alkaline backup , for those emergency pics you have to have .	1
sure , it slows it down a little , but that 's expected .	1
6 . play game boy color games on it with go boy .	1
the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n 't played with it too much on manual .	1
original review december 2004 i 'm sorry to read about other people having problems with their zen micro , but mine has worked great ! .	1
all-in-all , creative has definitely come up with a winner in terms of product design and features , and i look forward to the nomad/zen line of products seizing more market share as people begin to realize that quality is a better determinant of experience than quantity and hype .	1
"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset etc . , are endless ."	1
the diaper champ is the best ! .	1
anything this phone does , it does perfectly .	1
another benefit of this phone is that it is truly an international phone ; . the 6610 is sold in almost everywhere in the world .	1
this really is a great little phone ; . its got nice features , a beatiful screen , great ergonomics , and its tiny ! .	1
the height adjustment works well- not perfect .	1
i just got an older 866 mhz system with 512 pc 133 ram and it also runs fine on that .	1
along the way we compared it to my wife 's t720i and the 6600 was superior in terms of battery life , connectivity bars and features .	1
the ms scandisk would appear due to manual shutdown and would only scan to the 2nd bar , over and over ( up to 1 hr , i then shut it down and used go back ) .	0
as a loyal customer of norton/symantec products , i purchased internet security 2004 as a software firewall and could not be any more dissatisfied with the product ( and hence the one star rating ) .	0
this makes for a great phone .	1
its speakerphone option allows us to do long talks conveniently , lying on bed &#38 ; . phone lying by your pillow side .	1
on the t-mobile service i was able to take pics as we drove across i-70 and email them to family & friends once we reached a t-mobile tone ( usually a major city ) .	1
it has an equalizer , but the iriver h10-20gb has a lot more presets than the ipod .	0
3 it is very compact but the controls are so well designed that they 're still easy to use .	1
the interface has a sassier flair and the blue-lit trimming is an added bonus .	1
then when i went to norton 's website to obtain a priority id number per the instructions i had been given , i couldn 't find a way to get one .	0
one complaint . . . the screen is too easily scratched ! .	0
"otherwise , this is a great "" alternative "" mp3 player for those of use who don 't want to worship the mighty all-powerful apple ."	1
i enjoy getting use to the touch pad .	1
works perfectly with my netgear wireless paramecia .	1
the transmission speed is also quite good , with pages loading very quickly .	1
i never get dropped calls .	1
booting up my computer took forever ! . ! . ! .	0
"if you call apple and tell them your ipod has been damaged , they charge you roughly $105 . 50 per minute and blame you for "" abusing "" your ipod ."	0
it has fm radio option and i can listen to music anytime .	1
again , every review written about the tech line is true . . . after waiting close to 45 minutes i finally spoke to a rep .	0
the software included is an easy installation and you have the option of using the creative software , windows media player 10 , or simply windows explorer to move music back and forth between your zen touch .	1
my fingers are kind of stubby so it took a while to learn how to hit a key without hitting the adjacent ones .	0
the player looks great , feels great , and sounds great .	1
it works better and has more useful features than nis 2003 .	1
this is my first digital camera and i can say that i am quite impressed with the features that it has .	1
2 it is easy enough for my grandmother to use .	1
no offense to amazon , but i was able to find one online for just over 200 bucks ( i 'm sure prices here will continue to sink ) , and that also seemed quite a good bargain for the amount of storage space .	1
i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before .	1
it 's faster than wmp .	1
the fact that you can assign ringtones to people and/or groups is really cool .	1
but i wanted to do some raised panel work and needed more power and variable speed to run the large-diameter bits .	1
i 've had it for about a week now and have to say it 's one of the best purchases i 've ever made .	1
i bought the diaper champ and have been very happy for the following reasons .	1
smaller size , 1 gb of more space , radio , voice recording , removable battery , cooler look , all in one .	1
the only problem is the battery life .	0
a distinct ipod relation is evident with white colored cables , power plug and the very nice zen case with a white rubber inside covering .	1
long reboots due to norton taking forever to boot .	0
i prefer things that are simple .	1
this phone is one of the milestones in the history of the cellular phones .	1
the power is incredible , it cut through md and plywood like butter .	1
but it wouldn 't let me turn the av protection back on and it wouldn 't stop with the alerts .	0
this is a quality product , not to be confused with the cheap junk that hitachi gets manufactured in china .	1
for the money , i 'm not sure you can do better .	1
8 battery life is excellent .	1
the ipod is a fine cousin to the early macs and current offerings from jobs and company .	1
"the two biggest things is the excellent working speakerphone "" unlike the nokia 3650 "" and the superb reception nokia is known for in the gsm phones they make . . ."	1
very simple and painless .	1
it is a great phone , if you are traveling all over the world , packed with wonderful features .	1
the manual does a fine job filling in any blanks that remain .	1
the setup was a breeze , i had some reservations about a wireless network ( see my review for linksys wet11 ) but this item was on sale as well as the wet11 so i just had to splurge .	1
i have about 6 gb used on my ipod so far ( well over 1000 songs ) , and as far as i can tell , all of them play at near-cd quality .	1
however , the battery life is good enough you should n 't be overly concerned with turning this phone off .	1
pros . 1 . speed 2 . signal strength 3 . advanced configuration options	1
i 'm not sure why all the bad reviews , my computer isn 't especially slowed down and i have win '98 .	1
the click wheel is incredibly convenient , however it can be a little overly touchy at times , which will make you frustrated with your own fingers .	1
the earbud headphones are really nice .	1
utility its got a huge list of features including an fm recorder a calender and contacts list .	1
the router works fine for both wired and wireless .	1
just the home version of norton internet/av has too many glitches and problems to even remotely bother with .	0
overall , this product is awesome .	1
good sound -- plays very nicely , even though the stock headphones are kind of weak durable -- not the most durable because its mostly plastic , but very compact and sturdy	1
as i said , i don 't regret the purchase at all .	1
- excellent sound quality	1
in true nokia style , the phone is simple to use and despite its delicate appearance , this little guy is as durable as other nokias i have owned .	1
it was a good player when it worked and i loved the design .	1
i have no problem using itunes with the zen micro ( in a makeshift sorta way ) .	1
seriously ! . i love it ! .	1
nothing spectacular is done by internet security or by antivirus software .	0
one primary reason for getting a cell phone was so that i could use it as an internet connection for my laptop running linux , where soft modem drivers are hard to find , and don 't work very well .	1
"decently sized screen -- one of the larger ones on the market at 2 """	1
configuring it for a home network was almost impossible .	0
bottom line : if you value excellent sound quality and the ability to use music subscription services , and are willing to deal with the possibility ( not the certainty ) of setup gremlins , by all means get the zen micro .	1
sometimes a suite is not a good deal and all you get is a bundle of headaches .	0
the sound is very nice .	1
the zen micro is smaller than it looks in pictures , and feels very solid .	1
this phone has many other features , ir , ; . just to name one , the features above i view as the most beneficial .	1
i love the features on the ipod and the many things you can do with it .	1
it has everything i needed : bluetooth , infrared , support for mmc , camera , and a good operating system with lots of supporting software .	1
this isn 't the most rugged phone ever but then your not gonna play airplane with this , are you .	1
upside : this one , like most nokias , receives a consistently strong signal ( i 've tried some samsung and sony ericsson models which were very weak on the reception front ) .	1
the biggest red flag for me was the fact that although my cousin 's player was relatively new , it was riddled with scratches .	0
the pictures are razor-sharp , even in macro .	1
great phone . . .	1
this phone is one of the few phones that have an fm radio tuner built in .	1
works great ! . ! . ! . ! .	1
the only main drawback is the fact that the voice-dialing system is kinda picky .	0
surfing the web on it is nice as well , i just wish there were more wap pages available .	1
3 ) joy stick for eazy navigation , 35mb memory card to store the pictures and stuff .	1
i can connect to my computer via bluetooth to transfer images , calender events , contacts and anything else .	1
"i tried it again this morning and it said i didn 't have the required "" permissions "" and lacked proper administrator status ."	0
this phone is fantastic .	1
it is no more heavy than any other powerful router and not as bad as some porter cable models i tried .	1
i finally decided to purchase this player because it was compatible with napster 2 go . . . . which is a subscription service , allowing me to download as much music as i want for a $14 . 95 flat fee .	1
i love this phone .	1
the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject .	1
also , with one click you can help train your spam killer .	1
i actually purchased two phones recently ( this one at the new blackberry phone ) , and this one is far superior ( imho ) .	1
only one complaint about the speakerphone , you can only activate the speakerphone feature once the person you are calling answers the phone , not while it is ringing .	0
downloads are a snap and quick .	1
it has plenty of power .	1
other than that , i think it is the best router for the money .	1
this is a great deal , and i 'm elated with my decision to go with hitachi 's green machine .	1
but , i am quite unhappy with nokia at the moment .	0
for the price , i am considering purchasing a spare just to have as a backup .	1
this is a really great buy , for yourself or as a shower gift .	1
the phone is very light weight .	1
and the battery life is bad ! .	0
- well-backlit keypad	1
the phone itself is pretty nice .	1
this phone is highly recommended otherwise .	1
"i could take 1/2 "" passes and it still didn 't skip a beat ."	1
i have been impressed with the power of the hitachi m12v .	1
freebies you get : a cradle with detachable stand and belt clip , some thing very handy and useful .	1
flawless .	1
all in all , this product is definitely one i would recommend and certainly worth the very reasonable price .	1
so much safer than the others that require a two handed operation ! .	1
i think the interface is great .	1
"we constantly got "" windows virtual memory low "" error messages popping up foll wed by ridiculous slowdowns and/or crashes ."	0
the auto setting does a great job most of the time but there are manual settings for those who want them .	1
all in all it hasn 't been a bad product .	1
this one is full of features ( has bluetooth ) .	1
other than this , i am very pleased with the router and would buy it again .	1
it works great , i am usually at the full 54 mbps , although every now and then that drops to around 36 mbps only because i am 2 floors below where the router is .	1
this player is absolutely phenomenal , i haven 't had any problems , and if you 're worried you will have problems , i suggest buying it at a retail store that has a good return policy but anyways . . . i find the touch pad very easy to use , and i 'm surprised so many people have had problems .	1
you can also assign special rings and graphics to special people when they call .	1
with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ; .	1
anywhere i went in south africa this phone received full bar reception .	1
"they said they would refund all the money , but a month later , they tell me now the back-up disc is not refundable as its cost is purely handling and shipping - $15 to "" handle "" and ship a cd ? . -- and they have been indignant and combative on the phone and in emails ."	0
i was more excited about this player upon opening than i was about the nomad .	1
great phone , i 'd buy another .	1
while i had the phone , the positive features were : good sound quality and an excellent fm phone and earpiece .	1
so the pretty solid router all around good for the money here 's the link to firmware updates http : //www . suavest . com/forum6 . html	1
my op ion is concentrate on what you need now , this product has excellent range , holds a teddy connection , ha sent even drooped one and i have it for more than a month now .	1
but i had to give you four because the service for my brand-new ipod was terribly slow .	0
the controls and the menus are clearly displayed and easily fathomed	1
especially for the price amazon gives it at ( i was unable to get mine through amazon due to some credit complications ) .	1
a bit disappoint on that ! .	0
it 's good .	1
the included earphones are pretty good - my advice ? .	1
this is a great product ! .	1
i will say that the os that the phone runs does have a few issues .	0
the speed is the same as dali up , where i live we do not have wifi everywhere so this is my version of it until we catch up .	1
but if i installed either one of these norton products , neither works after installation ? .	0
we got two phones for the t-mobile family plan ( indeed very easy to switch to the family plan ) and one came with a broken headphone ( can hear but can not be heard ) and one died today after less than two weeks of use .	0
the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .	1
i installed , activated and registered nis 2004 without issue .	1
from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic meg atones that adds a personal touch to this nifty phone .	1
there technical service isn 't helpful either ; . they just read what 's on their website and charge you $50 ( + toll fees ) to do it .	0
this radio receives fairly decent reception but not nearly as good as a normal radio , but as long as the stations are coming in clearly the phone 's radio should work perfectly .	1
if you use linux and want gr ps and/or want to use a handsfree bluetooth device , and want a decent camera -- this is the phone for you .	1
the navigation takes so much time that it would eventually drive you crazy .	0
at first i had a problem with some smell , then i realized if you flip the lid back and always keep the same side facing in - then there is no smell at all ! .	1
overall this has been my favorite phone that i have owned .	1
"from day one , we 've had hangups , crashes , glitches , continual reboots , long shutdowns due to "" cc app . exe "" program running which is a norton program ."	0
2 ) nice features , like web browser , camera , video recorder , speaker phone ( very usefully ) , clear voice reception .	1
i can keep one hand on my baby and dump the diaper at the same time , it is that simple .	1
norton pops up a window about the intrusions and gives me as much detail as possible about where the intrusion is coming from .	1
i am enjoying my phone a lot . . . .	1
basically the 6600 is a bundle of over-hyped features you don 't and won 't need ( if you do get yourself a pda or pocket pc ) , none of them work as they should , and the basic phone functions and ergonomics are less than average .	0
the box is upstairs , and in the farthest room i get connected at 11-18m speed - that is similar to the older 10m ethernet standard .	1
this is really a no brain er .	1
however , the battery life isn 't as good as i would like .	0
i have had mine for about a year and use a third party firmware on mine and love it .	1
i finally got a free support number for norton through my usp support staff , but waited an hour or more for a voice .	0
i love the performance and features of this router .	1
the zen micro ( mine 's black ) has a lot going for it .	1
while they all seem to have their own positives and negatives , i picked the zen micro over the ipod mini , because i am not an apple person , never has been - i wanted something that is fully compatible with windows media player .	1
the main issue now is that this new zen micro seems to be the best on the market at least temporarily .	1
however , symantec has taken a significant turn for the worse with this release .	0
one other issue is that the headphone jack is unique to nokia , so standard headphones will not work .	0
"while i was trying to play half life 2 it started popping up with "" alerts "" every twenty seconds ( literally ) , warning me my antivirus protection was off ."	0
downside is the size of the phone , it is big for today 's standard .	0
t-mobile wasn 't upfront about some of the terms to qualify for the rebate .	0
friends told me that the diaper genie did not work very well , so bought the diaper champ based on on-line reviews and i have been happy with it .	1
their network coverage is very sporadic , and the network always seems overloaded , resulting in very unpleasant calling experience .	0
i loaded a lot of photos into it and they display very clearly for such a small screen and , very importantly , the transition from one photo to the next is instantaneous .	1
it 's oval and . . . nice .	1
this camera is perfect for an enthusiastic amateur photographer .	1
whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm radio .	1
the hitachi is made in malaya , and looked cheap compared with the makita , which is made in the usa .	1
one caveat i have is that i understand the ipod does not save the photos in such a way that the quality of the image is preserved .	0
very sturdy and strong .	1
picture quality 's great for still and video with sound .	1
this product is by far the best broadband router on the market , i bought this to replace one of those linksys instant wireless b routers , worked great for about a year .	1
it is a great router for a table and with the depth adjustment knob it is easy to adjust depth precisely .	1
there is absolutely nothing useful at the symantec/norton site .	0
5 . the camera installed on this phone is awesome .	1
the best part of the firewall is the visual backtracking .	1
the phone has such advantages as the excellent keypad and display , long rundown time and a good software suite .	1
however , there is a more detailed pdf manual on the cd ( and online ) that should answer any questions about the operational features of the zen micro .	1
however , if there was one thing i liked about the creative , it would be the car adapter .	1
